text,label
"For the past few weeks, I have had nausea. I have migraine and I often experience sensitivity to light. I have diabetes and I often experience fatigue. I have thyroid disorder and I often experience mood swings.",condition
I am suffering from headache. I have hypertension and I often experience headache. I have heart disease and I often experience fatigue. I have arthritis and I often experience joint stiffness.,condition
I have been experiencing sensitivity to light. I have migraine and I often experience nausea. I have asthma and I often experience shortness of breath. I am allergic to milk.,allergy
"For the past few weeks, I have had wheezing. I have asthma and I often experience shortness of breath. I am allergic to gluten. I am currently taking paracetamol.",allergy
"Recently, I noticed wheezing. I have asthma and I often experience shortness of breath. I have heart disease and I often experience fatigue.",condition
"Recently, I noticed shortness of breath. I have heart disease and I often experience fatigue. I have migraine and I often experience sensitivity to light.",condition
"Recently, I noticed nasal congestion. I have sinusitis and I often experience nasal congestion. I have hypertension and I often experience chest discomfort.",condition
"Recently, I noticed head pressure. I have sinusitis and I often experience head pressure. I am currently taking paracetamol.",medication
I have been experiencing head pressure. I have sinusitis and I often experience facial pain. I have diabetes and I often experience blurred vision. I have asthma and I often experience wheezing. I am currently taking antihistamines.,medication
"For the past few weeks, I have had blurred vision. I have diabetes and I often experience blurred vision. I have migraine and I often experience severe headache. I have thyroid disorder and I often experience mood swings. I am allergic to dust. I am currently taking antihistamines.",allergy
"Recently, I noticed frequent urination. I have diabetes and I often experience fatigue. I have heart disease and I often experience shortness of breath. I have arthritis and I often experience knee pain.",symptom
"For the past few weeks, I have had knee pain. I have arthritis and I often experience difficulty climbing stairs. I have migraine and I often experience sensitivity to light. I have heart disease and I often experience fatigue. I am allergic to dust.",allergy
"For the past few weeks, I have had nasal congestion. I have sinusitis and I often experience facial pain. I have migraine and I often experience severe headache. I have arthritis and I often experience knee pain.",symptom
I have been experiencing chest tightness. I have asthma and I often experience chest tightness. I am allergic to peanuts.,allergy
"Recently, I noticed chest tightness. I have asthma and I often experience wheezing. I have migraine and I often experience severe headache. I am allergic to gluten.",allergy
I am suffering from chest pain. I have heart disease and I often experience fatigue. I have thyroid disorder and I often experience fatigue. I have sinusitis and I often experience nasal congestion. I am allergic to pollen.,allergy
"Recently, I noticed joint stiffness. I have arthritis and I often experience knee pain. I am allergic to dust. I am currently taking ibuprofen.",allergy
I have been experiencing fatigue. I have heart disease and I often experience chest pain. I am allergic to milk.,allergy
